Battle_ID,Team 1,Team 2,Result
968029267,"['Ferrothorn', 'Tapu Fini', 'Landorus-Therian', 'Charizard', 'Greninja', 'Tapu Koko']","['Dragonite', 'Excadrill', 'Kartana', 'Greninja', 'Alakazam', 'Tapu Lele']",T2
968033690,"['Mimikyu', 'Mawile', 'Greninja', 'Tapu Bulu', 'Snorlax', 'Skarmory']","['Magnezone', 'Alakazam', 'Tapu Fini', 'Ferrothorn', 'Kommo-o', 'Gumshoos']",T2
968036552,"['Samurott', 'Staraptor', 'Dragonite', 'Aggron', 'Salazzle', 'Rotom-Mow']","['Empoleon', 'Gliscor', 'Gengar', 'Pinsir', 'Houndoom', 'Kommo-o']",T1
